series_id,surface
0,tiled
1,concrete
2,tiled
3,wood
4,soft_pvc
5,concrete
6,concrete
7,soft_pvc
8,wood
9,wood
10,concrete
11,wood
12,hard_tiles_large_space
13,soft_tiles
14,soft_pvc
15,wood
16,concrete
17,fine_concrete
18,wood
19,soft_tiles
20,soft_tiles
21,concrete
22,concrete
23,hard_tiles_large_space
24,concrete
25,wood
26,soft_tiles
27,soft_tiles
28,wood
29,concrete
30,fine_concrete
31,soft_tiles
32,soft_tiles
33,concrete
34,concrete
35,concrete
36,tiled
37,tiled
38,concrete
39,soft_pvc
40,tiled
41,wood
42,soft_pvc
43,wood
44,soft_pvc
45,carpet
46,wood
47,wood
48,wood
49,wood
50,hard_tiles_large_space
51,fine_concrete
52,fine_concrete
53,tiled
54,tiled
55,wood
56,tiled
57,wood
58,tiled
59,soft_tiles
60,fine_concrete
61,concrete
62,tiled
63,concrete
64,concrete
65,wood
66,soft_tiles
67,soft_tiles
68,soft_tiles
69,hard_tiles_large_space
70,tiled
71,concrete
72,wood
73,wood
74,tiled
75,wood
76,tiled
77,concrete
78,soft_pvc
79,concrete
80,soft_tiles
81,tiled
82,wood
83,tiled
84,concrete
85,soft_tiles
86,wood
87,tiled
88,soft_pvc
89,concrete
90,wood
91,concrete
92,fine_concrete
93,carpet
94,tiled
95,concrete
96,soft_pvc
97,soft_tiles
98,concrete
99,wood
100,fine_concrete
101,fine_concrete
102,fine_concrete
103,wood
104,concrete
105,hard_tiles_large_space
106,concrete
107,soft_pvc
108,wood
109,tiled
110,concrete
111,concrete
112,fine_concrete
113,concrete
114,soft_pvc
115,soft_tiles
116,concrete
117,soft_tiles
118,fine_concrete
119,concrete
120,fine_concrete
121,wood
122,concrete
123,fine_concrete
124,wood
125,tiled
126,tiled
127,wood
128,soft_pvc
129,concrete
130,hard_tiles_large_space
131,wood
132,concrete
133,wood
134,fine_concrete
135,concrete
136,soft_pvc
137,wood
138,soft_tiles
139,concrete
140,soft_tiles
141,concrete
142,soft_tiles
143,fine_concrete
144,fine_concrete
145,tiled
146,soft_pvc
147,concrete
148,soft_pvc
149,wood
150,soft_pvc
151,concrete
152,wood
153,soft_tiles
154,soft_tiles
155,soft_tiles
156,soft_pvc
157,concrete
158,soft_pvc
159,fine_concrete
160,concrete
161,hard_tiles_large_space
162,soft_tiles
163,hard_tiles_large_space
164,fine_concrete
165,hard_tiles_large_space
166,tiled
167,tiled
168,hard_tiles_large_space
169,hard_tiles_large_space
170,wood
171,hard_tiles_large_space
172,hard_tiles_large_space
173,concrete
174,soft_pvc
175,concrete
176,concrete
177,hard_tiles_large_space
178,concrete
179,hard_tiles_large_space
180,concrete
181,tiled
182,fine_concrete
183,hard_tiles_large_space
184,concrete
185,fine_concrete
186,tiled
187,concrete
188,soft_pvc
189,soft_pvc
190,tiled
191,wood
192,concrete
193,concrete
194,concrete
195,concrete
196,wood
197,concrete
198,concrete
199,concrete
200,wood
201,concrete
202,wood
203,hard_tiles_large_space
204,soft_tiles
205,concrete
206,soft_pvc
207,wood
208,tiled
209,tiled
210,concrete
211,wood
212,soft_pvc
213,tiled
214,wood
215,soft_pvc
216,soft_tiles
217,wood
218,soft_pvc
219,concrete
220,soft_pvc
221,fine_concrete
222,soft_pvc
223,fine_concrete
224,concrete
225,fine_concrete
226,hard_tiles_large_space
227,concrete
228,fine_concrete
229,tiled
230,soft_pvc
231,carpet
232,concrete
233,fine_concrete
234,concrete
235,hard_tiles_large_space
236,concrete
237,soft_tiles
238,wood
239,concrete
240,wood
241,tiled
242,tiled
243,fine_concrete
244,soft_pvc
245,soft_pvc
246,wood
247,tiled
248,concrete
249,tiled
250,tiled
251,wood
252,wood
253,fine_concrete
254,concrete
255,soft_tiles
256,fine_concrete
257,soft_tiles
258,fine_concrete
259,soft_tiles
260,soft_tiles
261,concrete
262,concrete
263,concrete
264,concrete
265,fine_concrete
266,carpet
267,tiled
268,tiled
269,fine_concrete
270,tiled
271,concrete
272,concrete
273,hard_tiles_large_space
274,soft_pvc
275,fine_concrete
276,tiled
277,carpet
278,fine_concrete
279,soft_pvc
280,concrete
281,concrete
282,fine_concrete
283,wood
284,soft_pvc
285,hard_tiles_large_space
286,soft_tiles
287,concrete
288,tiled
289,tiled
290,hard_tiles_large_space
291,carpet
292,soft_tiles
293,concrete
294,concrete
295,soft_pvc
296,soft_pvc
297,tiled
298,wood
299,soft_pvc
300,hard_tiles_large_space
301,soft_pvc
302,hard_tiles_large_space
303,wood
304,concrete
305,soft_tiles
306,tiled
307,fine_concrete
308,concrete
309,concrete
310,fine_concrete
311,soft_pvc
312,soft_pvc
313,wood
314,concrete
315,wood
316,soft_pvc
317,fine_concrete
318,concrete
319,concrete
320,hard_tiles_large_space
321,concrete
322,soft_pvc
323,concrete
324,tiled
325,wood
326,concrete
327,wood
328,soft_tiles
329,wood
330,fine_concrete
331,concrete
332,tiled
333,soft_tiles
334,concrete
335,concrete
336,tiled
337,tiled
338,fine_concrete
339,wood
340,wood
341,hard_tiles_large_space
342,concrete
343,concrete
344,concrete
345,concrete
346,soft_tiles
347,wood
348,concrete
349,concrete
350,hard_tiles_large_space
351,soft_pvc
352,tiled
353,wood
354,wood
355,tiled
356,soft_pvc
357,concrete
358,wood
359,soft_pvc
360,tiled
361,concrete
362,concrete
363,soft_pvc
364,tiled
365,fine_concrete
366,fine_concrete
367,wood
368,fine_concrete
369,concrete
370,wood
371,soft_pvc
372,fine_concrete
373,concrete
374,wood
375,wood
376,soft_tiles
377,tiled
378,soft_tiles
379,soft_pvc
380,soft_tiles
381,soft_tiles
382,wood
383,hard_tiles_large_space
384,tiled
385,concrete
386,soft_pvc
387,concrete
388,soft_pvc
389,tiled
390,fine_concrete
391,hard_tiles_large_space
392,soft_tiles
393,soft_tiles
394,soft_tiles
395,soft_tiles
396,soft_tiles
397,soft_pvc
