series_id,surface
0,hard_tiles_large_space
1,tiled
2,tiled
3,carpet
4,tiled
5,concrete
6,concrete
7,wood
8,concrete
9,carpet
10,concrete
11,soft_pvc
12,hard_tiles_large_space
13,concrete
14,soft_pvc
15,concrete
16,concrete
17,fine_concrete
18,wood
19,soft_pvc
20,carpet
21,concrete
22,concrete
23,hard_tiles_large_space
24,concrete
25,soft_tiles
26,concrete
27,soft_pvc
28,tiled
29,concrete
30,fine_concrete
31,soft_tiles
32,concrete
33,concrete
34,concrete
35,concrete
36,hard_tiles_large_space
37,soft_pvc
38,concrete
39,concrete
40,tiled
41,concrete
42,soft_pvc
43,carpet
44,concrete
45,carpet
46,hard_tiles_large_space
47,carpet
48,tiled
49,concrete
50,hard_tiles_large_space
51,fine_concrete
52,concrete
53,tiled
54,hard_tiles_large_space
55,tiled
56,tiled
57,wood
58,hard_tiles_large_space
59,concrete
60,fine_concrete
61,hard_tiles_large_space
62,tiled
63,concrete
64,concrete
65,soft_pvc
66,soft_tiles
67,soft_tiles
68,soft_pvc
69,hard_tiles_large_space
70,tiled
71,concrete
72,hard_tiles_large_space
73,carpet
74,hard_tiles_large_space
75,soft_pvc
76,tiled
77,concrete
78,soft_pvc
79,concrete
80,soft_tiles
81,tiled
82,wood
83,tiled
84,concrete
85,concrete
86,tiled
87,soft_tiles
88,carpet
89,concrete
90,wood
91,concrete
92,fine_concrete
93,tiled
94,tiled
95,concrete
96,fine_concrete
97,soft_tiles
98,concrete
99,carpet
100,hard_tiles_large_space
101,hard_tiles_large_space
102,fine_concrete
103,concrete
104,hard_tiles_large_space
105,concrete
106,concrete
107,fine_concrete
108,wood
109,tiled
110,concrete
111,soft_pvc
112,hard_tiles_large_space
113,concrete
114,wood
115,soft_tiles
116,concrete
117,tiled
118,hard_tiles_large_space
119,concrete
120,fine_concrete
121,concrete
122,soft_pvc
123,fine_concrete
124,tiled
125,tiled
126,tiled
127,wood
128,fine_concrete
129,concrete
130,hard_tiles_large_space
131,wood
132,concrete
133,tiled
134,fine_concrete
135,concrete
136,soft_pvc
137,wood
138,concrete
139,concrete
140,concrete
141,concrete
142,soft_pvc
143,fine_concrete
144,concrete
145,tiled
146,soft_pvc
147,concrete
148,hard_tiles_large_space
149,fine_concrete
150,hard_tiles_large_space
151,concrete
152,carpet
153,soft_tiles
154,soft_tiles
155,soft_tiles
156,soft_pvc
157,tiled
158,tiled
159,tiled
160,soft_pvc
161,hard_tiles_large_space
162,soft_tiles
163,hard_tiles_large_space
164,fine_concrete
165,hard_tiles_large_space
166,hard_tiles_large_space
167,hard_tiles_large_space
168,hard_tiles_large_space
169,hard_tiles_large_space
170,carpet
171,hard_tiles_large_space
172,concrete
173,concrete
174,soft_pvc
175,concrete
176,concrete
177,hard_tiles_large_space
178,concrete
179,hard_tiles_large_space
180,concrete
181,hard_tiles_large_space
182,fine_concrete
183,hard_tiles_large_space
184,concrete
185,wood
186,tiled
187,concrete
188,soft_pvc
189,tiled
190,hard_tiles_large_space
191,concrete
192,concrete
193,concrete
194,concrete
195,concrete
196,concrete
197,concrete
198,concrete
199,concrete
200,hard_tiles_large_space
201,concrete
202,fine_concrete
203,hard_tiles_large_space
204,soft_tiles
205,concrete
206,soft_pvc
207,carpet
208,hard_tiles_large_space
209,concrete
210,concrete
211,carpet
212,fine_concrete
213,tiled
214,carpet
215,fine_concrete
216,concrete
217,soft_pvc
218,concrete
219,concrete
220,hard_tiles_large_space
221,fine_concrete
222,hard_tiles_large_space
223,fine_concrete
224,concrete
225,fine_concrete
226,hard_tiles_large_space
227,concrete
228,fine_concrete
229,tiled
230,carpet
231,hard_tiles_large_space
232,concrete
233,wood
234,concrete
235,hard_tiles_large_space
236,concrete
237,concrete
238,soft_pvc
239,hard_tiles_large_space
240,carpet
241,soft_pvc
242,tiled
243,fine_concrete
244,concrete
245,soft_pvc
246,wood
247,hard_tiles_large_space
248,concrete
249,concrete
250,tiled
251,tiled
252,carpet
253,concrete
254,concrete
255,soft_tiles
256,fine_concrete
257,soft_pvc
258,fine_concrete
259,soft_tiles
260,soft_tiles
261,concrete
262,concrete
263,concrete
264,concrete
265,concrete
266,hard_tiles_large_space
267,tiled
268,tiled
269,fine_concrete
270,hard_tiles_large_space
271,concrete
272,concrete
273,hard_tiles_large_space
274,hard_tiles_large_space
275,fine_concrete
276,tiled
277,tiled
278,fine_concrete
279,soft_pvc
280,concrete
281,concrete
282,fine_concrete
283,concrete
284,concrete
285,hard_tiles_large_space
286,soft_pvc
287,soft_pvc
288,tiled
289,tiled
290,hard_tiles_large_space
291,hard_tiles_large_space
292,hard_tiles_large_space
293,concrete
294,concrete
295,wood
296,wood
297,tiled
298,carpet
299,soft_pvc
300,soft_pvc
301,soft_pvc
302,hard_tiles_large_space
303,fine_concrete
304,concrete
305,soft_pvc
306,tiled
307,wood
308,concrete
309,concrete
310,hard_tiles_large_space
311,soft_pvc
312,carpet
313,tiled
314,fine_concrete
315,tiled
316,soft_pvc
317,fine_concrete
318,soft_pvc
319,concrete
320,hard_tiles_large_space
321,concrete
322,soft_pvc
323,concrete
324,tiled
325,tiled
326,hard_tiles_large_space
327,tiled
328,concrete
329,concrete
330,hard_tiles_large_space
331,concrete
332,tiled
333,soft_pvc
334,concrete
335,concrete
336,concrete
337,tiled
338,fine_concrete
339,wood
340,concrete
341,hard_tiles_large_space
342,concrete
343,concrete
344,concrete
345,concrete
346,soft_pvc
347,tiled
348,concrete
349,soft_pvc
350,hard_tiles_large_space
351,soft_pvc
352,tiled
353,soft_pvc
354,tiled
355,tiled
356,soft_pvc
357,concrete
358,carpet
359,fine_concrete
360,tiled
361,concrete
362,concrete
363,wood
364,tiled
365,fine_concrete
366,fine_concrete
367,tiled
368,fine_concrete
369,concrete
370,carpet
371,soft_pvc
372,fine_concrete
373,concrete
374,tiled
375,wood
376,soft_tiles
377,tiled
378,concrete
379,hard_tiles_large_space
380,carpet
381,concrete
382,wood
383,hard_tiles_large_space
384,tiled
385,concrete
386,carpet
387,concrete
388,tiled
389,hard_tiles_large_space
390,fine_concrete
391,hard_tiles_large_space
392,concrete
393,soft_tiles
394,concrete
395,concrete
396,soft_pvc
397,fine_concrete
398,concrete
399,concrete
400,soft_pvc
401,fine_concrete
402,concrete
403,concrete
404,concrete
405,concrete
406,tiled
407,soft_pvc
408,fine_concrete
409,soft_pvc
410,fine_concrete
411,wood
412,tiled
413,wood
414,wood
415,hard_tiles_large_space
416,soft_pvc
417,soft_pvc
418,concrete
419,soft_pvc
420,fine_concrete
421,carpet
422,soft_pvc
423,fine_concrete
424,concrete
425,soft_pvc
426,concrete
427,soft_tiles
428,hard_tiles_large_space
429,soft_tiles
430,wood
431,tiled
432,hard_tiles_large_space
433,concrete
434,concrete
435,wood
436,soft_pvc
437,soft_tiles
438,concrete
439,fine_concrete
440,concrete
441,soft_tiles
442,concrete
443,fine_concrete
444,tiled
445,wood
446,hard_tiles_large_space
447,hard_tiles_large_space
448,hard_tiles_large_space
449,tiled
450,concrete
451,soft_tiles
452,soft_pvc
453,tiled
454,soft_tiles
455,concrete
456,concrete
457,soft_pvc
458,soft_pvc
459,fine_concrete
460,soft_tiles
461,concrete
462,tiled
463,fine_concrete
464,fine_concrete
465,concrete
466,concrete
467,concrete
468,fine_concrete
469,concrete
470,fine_concrete
471,carpet
472,hard_tiles_large_space
473,tiled
474,carpet
475,concrete
476,soft_pvc
477,concrete
478,concrete
479,fine_concrete
480,carpet
481,concrete
482,soft_tiles
483,concrete
484,carpet
485,carpet
486,hard_tiles_large_space
487,concrete
488,fine_concrete
489,concrete
490,hard_tiles_large_space
491,fine_concrete
492,concrete
493,tiled
494,fine_concrete
495,concrete
496,wood
497,tiled
498,concrete
499,hard_tiles_large_space
500,concrete
501,wood
502,soft_pvc
503,tiled
504,hard_tiles_large_space
505,soft_pvc
506,wood
507,concrete
508,fine_concrete
509,concrete
510,concrete
511,hard_tiles_large_space
512,soft_tiles
513,concrete
514,hard_tiles_large_space
515,tiled
516,soft_pvc
517,hard_tiles_large_space
518,tiled
519,concrete
520,concrete
521,concrete
522,soft_tiles
523,hard_tiles_large_space
524,soft_pvc
525,hard_tiles_large_space
526,soft_tiles
527,hard_tiles_large_space
528,carpet
529,concrete
530,concrete
531,hard_tiles_large_space
532,fine_concrete
533,fine_concrete
534,concrete
535,hard_tiles_large_space
536,concrete
537,concrete
538,concrete
539,wood
540,hard_tiles_large_space
541,carpet
542,soft_pvc
543,concrete
544,soft_tiles
545,soft_pvc
546,wood
547,soft_pvc
548,concrete
549,concrete
550,carpet
551,concrete
552,concrete
553,concrete
554,hard_tiles_large_space
555,concrete
556,tiled
557,wood
558,hard_tiles_large_space
559,concrete
560,fine_concrete
561,soft_pvc
562,concrete
563,wood
564,concrete
565,soft_pvc
566,tiled
567,tiled
568,soft_pvc
569,hard_tiles_large_space
570,tiled
571,tiled
572,carpet
573,concrete
574,carpet
575,hard_tiles_large_space
576,concrete
577,concrete
578,soft_pvc
579,tiled
580,tiled
581,concrete
582,concrete
583,tiled
584,concrete
585,hard_tiles_large_space
586,hard_tiles_large_space
587,concrete
588,fine_concrete
589,concrete
590,tiled
591,soft_pvc
592,fine_concrete
593,hard_tiles_large_space
594,hard_tiles_large_space
595,hard_tiles_large_space
596,concrete
597,wood
598,tiled
599,concrete
600,concrete
601,tiled
602,soft_tiles
603,soft_tiles
604,concrete
605,hard_tiles_large_space
606,fine_concrete
607,concrete
608,concrete
609,concrete
610,hard_tiles_large_space
611,fine_concrete
612,fine_concrete
613,concrete
614,fine_concrete
615,fine_concrete
616,hard_tiles_large_space
617,concrete
618,concrete
619,carpet
620,concrete
621,fine_concrete
622,soft_pvc
623,wood
